seqgen12,pstatabb,pname,orispl,genid,numblr,genstat,prmvr,fuelg1,namepcap,cfact,genntan,genntoz,generrc,genyronl,notes
2179,CA,El Segundo Power,330,3,1,OP,ST,NG,342,0.084146105,252095.0,0.0,F923ST,1964,
2180,CA,El Segundo Power,330,4,1,OP,ST,NG,342,0.117002123,350529.0,0.0,F923ST,1965,
2193,CA,Elk Hills Power LLC,55400,STG,2,OP,CA,NG,225,0.642806697,1266972.0,0.0,F923ST,2003,
2194,CA,Ellwood,8076,01,0,OP,GT,NG,58,0.002403165,1221.0,0.0,F923NONK,1974,
2195,CA,Elmore Company,10634,GEN1,0,OP,ST,GEO,49,0.825351785,354274.0,0.0,F923NONK,1988,
2196,CA,Encina,302,2,1,OP,ST,NG,90,0.184107052,145150.0,0.0,F923ST,1956,
2197,CA,Encina,302,3,1,OP,ST,NG,90,0.20872273,164557.0,0.0,F923ST,1958,
2198,CA,Encina,302,4,1,OP,ST,NG,306,0.145148775,389080.0,0.0,F923ST,1973,
2199,CA,Encina,302,5,1,OP,ST,NG,345.6,0.178340825,539919.0,0.0,F923ST,1978,
2200,CA,Encina,302,GT1,0,SB,GT,NG,18,0.017135972,2702.0,0.0,F923NONK,1968,
2201,CA,Encina,302,ST1,1,OP,ST,NG,90,0.171519533,135226.0,0.0,F923ST,1954,
2209,CA,Energy Center,58168,EC01,0,OP,IC,NG,1.5,0.553394216,7271.6,0.0,F923NONK,2007,
2212,CA,Equilon Los Angeles Refining,50530,GEN3,1,OP,ST,OG,23,0.479045067,96518.0,0.0,F923ST,1991,
2213,CA,Escondido Power Plant,55538,GEN1,0,OP,GT,NG,44,0.003850145,1484.0,0.0,F923NONK,2001,
2215,CA,Etiwanda,745,1,0,OP,HY,WAT,23.9,0.212954472,44585.0,0.0,F923NONK,1994,
2218,CA,Etiwanda Generating Station,331,3,1,OP,ST,NG,333,0.043091722,125702.0,0.0,F923ST,1963,
2219,CA,Etiwanda Generating Station,331,4,1,OP,ST,NG,333,0.043606278,127203.0,0.0,F923ST,1963,
2221,CA,EUIPH Wind Farm,10027,EXIS,0,OP,WT,WND,25.4,0.202292992,45011.0,0.0,F923NONK,1985,
2222,CA,Exchequer,409,1,0,OP,HY,WAT,94.5,0.24718417,204624.0,0.0,F923NONK,1967,
2227,CA,ExxonMobil Oil Torrance Refinery,50624,GTG1,0,OP,GT,NG,22.5,0.824474886,162504.0,0.0,F923NONK,1988,
2229,CA,ExxonMobil Santa Ynez Facility,50270,GTG1,0,OP,CT,NG,39.5,0.805308566,278652.9,0.0,F923NONK,1993,
2230,CA,ExxonMobil Santa Ynez Facility,50270,STG1,0,OP,CA,NG,9.8,0.651355768,55917.6,0.0,F923NONK,1993,
2231,CA,FAA NorCal TRACON,58261,1,0,OP,PV,SUN,1,0.003767123,33.0,0.0,F923NONK,2012,
2232,CA,Fairhaven Power,10052,GEN1,1,OP,ST,WDS,18.8,0.766491791,126232.0,0.0,F923ST,1986,
2238,CA,Feather River Energy Center,55847,CTG1,0,OP,GT,NG,47,0.088975517,36633.0,0.0,F923NONK,2003,
2239,CA,Five Points Solar Station,57498,1,0,OP,PV,SUN,15,0.227914764,29948.0,0.0,F923NONK,2011,
2245,CA,Foothill,396,1,0,OP,HY,WAT,11,0.408634288,39376.0,0.0,F923NONK,1971,
2248,CA,Forbestown,417,1,0,OP,HY,WAT,41.9,0.352911368,129534.0,0.0,F923NONK,1963,
2249,CA,Forks of Butte Hydro Project,50350,GEN1,0,OP,HY,WAT,14.5,0.25385766,32245.0,0.0,F923NONK,1992,
2252,CA,Foster Wheeler Martinez,10342,TG3,1,OP,CA,NG,33.5,0.618721461,181570.0,0.0,F923ST,1987,
2253,CA,Foundation AB,57791,WTG1,0,OP,WT,WND,1.5,0.248097412,3260.0,0.0,F923NONK,2011,
2256,CA,Foundation Cemex Madison,58112,WTG1,0,OP,WT,WND,1,0.053767123,471.0,0.0,F923NONK,2012,
2259,CA,Foundation IE,57792,WTG1,0,OP,WT,WND,1,0.049885845,437.0,0.0,F923NONK,2011,
2264,CA,Foundation ST,57626,WTG1,0,OP,WT,WND,2,0.0918379,1609.0,0.0,F923NONK,2011,
2265,CA,Foundation Superior Farms,58104,WTG1,0,OP,WT,WND,1,0.00890411,78.0,0.0,F923NONK,2012,
2266,CA,Foundation Wal-Mart Red Bluff,58105,WTG1,0,OP,WT,WND,1,0.001712329,15.0,0.0,F923NONK,2012,
2268,CA,FPL Energy Montezuma Winds LLC,57201,S2.3,0,OP,WT,WND,36.8,0.311687264,100478.0,0.0,F923NONK,2010,
2269,CA,Frankenheimer Power Plant,50219,U1,0,OP,HY,WAT,5.3,0.288382011,13389.0,0.0,F923NONK,1983,
2270,CA,Franklin,397,1,0,OP,HY,WAT,2,0.420605023,7369.0,0.0,F923NONK,1921,
2271,CA,Franklin Templeton San Mateo,57809,FRK00,0,OP,FC,NG,1.1,0.867891241,8363.0,0.0,F923NONK,2011,
2272,CA,French Meadows,424,1,0,OP,HY,WAT,15.3,0.35005372,46917.0,0.0,F923NONK,1966,
2274,CA,Fresno Cogen Partners,10156,GEN2,1,OP,CA,NG,10,0.018196347,1594.0,0.0,F923ST,1990,
2281,CA,Frito-Lay Cogen Plant,10110,GEN1,0,OP,GT,NG,6,0.524400685,27562.5,0.0,F923NONK,1986,
2285,CA,FRV SI Transport Solar LP,57506,SEIM,0,OP,PV,SUN,1,0.207762557,1820.0,0.0,F923NONK,2010,
2286,CA,Fullerton Mill CHP,58083,GTG1,0,OP,GT,NG,19,0.492667267,81999.5,0.0,F923NONK,2002,
2287,CA,Fullerton Mill CHP,58083,STG1,0,OP,ST,NG,2,0.435171233,7624.2,0.0,F923NONK,2002,
2298,CA,Garnet Wind Energy Center,57302,1,0,OP,WT,WND,6.5,0.329065683,18737.0,0.0,F923NONK,2009,
2301,CA,Gas Utilization Facility,50492,3,0,OP,HY,WAT,1.5,0.173592085,2281.0,0.0,F923NONK,2002,
2305,CA,Gateway Generating Station,56476,C,2,OP,CA,NG,213.3,0.598908327,1119065.0,0.0,F923ST,2009,
